recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,areaType,latitude,longitude
KEEP,카카오 SW8 검증 역세권,,3120096,"이화여대(이대역, 이대)",DEVELOPMENT,37.5584240,126.9427433
KEEP,서울 관광특구,,3001495,잠실 관광특구,TOURIST_SPECIAL,37.5164311,127.1152409
KEEP,카카오 SW8 검증 역세권,,3120225,잠실새내역(신천),DEVELOPMENT,37.5104848,127.0825783
KEEP,카카오 SW8 검증 역세권,,3120227,잠실역,DEVELOPMENT,37.5139841,127.1012680
KEEP,카카오 SW8 검증 역세권,,3120154,장승배기역,DEVELOPMENT,37.5044259,126.9405227
KEEP,카카오 SW8 검증 역세권,,3120236,장지역(가든파이브),DEVELOPMENT,37.4780401,127.1232994
KEEP,카카오 SW8 검증 역세권,,3120066,장한평역(장한평),DEVELOPMENT,37.5621323,127.0645033
KEEP,카카오 SW8 검증 역세권,,3120006,종각역,DEVELOPMENT,37.5703749,126.9834960
KEEP,카카오 SW8 검증 역세권,,3120009,종로3가역,DEVELOPMENT,37.5716551,126.9906951
KEEP,카카오 SW8 검증 역세권,,3120014,종로5가역,DEVELOPMENT,37.5719077,127.0023206
KEEP,서울 관광특구,,3001494,종로·청계 관광특구,TOURIST_SPECIAL,37.5700066,126.9976908
KEEP,카카오 SW8 검증 역세권,,3120079,창동역,DEVELOPMENT,37.6523925,127.0476852
KEEP,카카오 SW8 검증 역세권,,3120243,천호역,DEVELOPMENT,37.5395234,127.1244416
KEEP,카카오 SW8 검증 역세권,,3120063,청량리역(청량리),DEVELOPMENT,37.5810071,127.0478094
KEEP,카카오 SW8 검증 역세권,,3120156,"총신대입구역(이수, 총신대)",DEVELOPMENT,37.4859958,126.9817055
KEEP,카카오 SW8 검증 역세권,,3120032,충무로역,DEVELOPMENT,37.5614020,126.9949407
KEEP,카카오 SW8 검증 역세권,,3120097,충정로역,DEVELOPMENT,37.5604864,126.9630804
KEEP,카카오 SW8 검증 역세권,,3120086,태릉입구역,DEVELOPMENT,37.6191396,127.0770122
KEEP,카카오 SW8 검증 역세권,,3120191,학동역,DEVELOPMENT,37.5135552,127.0300760
KEEP,카카오 SW8 검증 역세권,,3120070,한성대입구역,DEVELOPMENT,37.5891705,127.0081748
KEEP,카카오 SW8 검증 역세권,,3120212,한티역,DEVELOPMENT,37.4974279,127.0536026
KEEP,카카오 SW8 검증 역세권,,3120101,합정역,DEVELOPMENT,37.5494683,126.9134859
KEEP,카카오 SW8 검증 역세권,,3120103,홍대입구역(홍대),DEVELOPMENT,37.5505442,126.9188034
KEEP,카카오 SW8 검증 역세권,,3120095,홍제역,DEVELOPMENT,37.5882298,126.9447472
KEEP,카카오 SW8 검증 역세권,,3120120,화곡역,DEVELOPMENT,37.5411098,126.8388042
KEEP,카카오 SW8 검증 역세권,,3120065,회기역,DEVELOPMENT,37.5894180,127.0576201
KEEP,카카오 SW8 검증 역세권,,3120024,회현역,DEVELOPMENT,37.5573368,126.9789945
