recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
KEEP,상업시설·시장 계열,,GGD-BY7SMSZPJN5L3DLNM2ZTSMIWTK,CGV김포,135,37.6191510,126.7200973
KEEP,관광·문화 계열,,GGD-5DESZVQQ2Y6VYKZUIO4V7RZGEV,시흥관광호텔,129,37.3378478,126.7489269
KEEP,카카오 SW8 검증 역세권,,GGD-M2IFVPMTLXBJXQCPDTZRTI77MA,단대오거리역_2번출구,125,37.4439631,127.1590071
KEEP,카카오 SW8 검증 역세권,,GGD-I4YVPSWG7B5UBBUR3R42NMBQ5R,송내역정류소,120,37.4861095,126.7515955
KEEP,상업시설·시장 계열,,GGD-ZZPY2PXIYPLVAEJI6SJFRGOFS7,기흥맛깔촌,115,37.2687574,127.1068814
KEEP,상업시설·시장 계열,,GGD-CMEYMULBO2SWNV6JVON3MD5RHF,롯데시네마파주아울렛,113,37.7191010,126.6929285
KEEP,상업시설·시장 계열,,GGD-5PZ7OGDLQKK3K3OKA4THJXN65Y,이마트광명소하점,112,37.4473808,126.8847777
KEEP,상업시설·시장 계열,,GGD-XAIRJI3YSZO3QVYXPIJWABWIZQ,이천일아울렛수원점,111,37.2739274,127.0205045
KEEP,카카오 SW8 검증 역세권,,GGD-RYKDPJISU6CNNRG42ZH2HPJUZD,망월사역_1번출구,110,37.7104760,127.0473989
KEEP,카카오 SW8 검증 역세권,,GGD-4ZDI4NM2YQFVTMLGDIZUZFFXHP,광명사거리역_6번출구,109,37.4822814,126.8551648
KEEP,상업시설·시장 계열,,GGD-GHJ6BEBE3IMU64GUMDWZ6Z7GX6,롯데시네마용인,109,37.2343567,127.2073815
KEEP,상업시설·시장 계열,,GGD-M6HAXUMBSRHPXCQE74L5PRXIPS,수원농수산물도매시장,108,37.2559504,127.0312225
KEEP,카카오 SW8 검증 역세권,,GGD-M5IMOYIBFJT3WNPCBFFTVINERX,역곡역_1번출구,107,37.4844717,126.8104739
KEEP,관광·문화 계열,,GGD-ZW5NAHMSHMO2SNTXBSN27B6IBH,문화극장,91,37.9064409,127.0551164
KEEP,상업시설·시장 계열,,GGD-BJRJVJ3UHJCBBDQZRXRYBOTAWQ,홈플러스의전부점,91,37.7521301,127.0710058
KEEP,카카오 SW8 검증 역세권,,GGD-RQ2EBXTSYOV7GJ2AJ4D7JJEB5N,망포역_4번출구,90,37.2464929,127.0541458
KEEP,카카오 SW8 검증 역세권,,GGD-P5TIEK3KQTZB4T3BMLUFTV76DP,운정역,90,37.7248619,126.7693953
