recommendedAction,reason,reviewDecision,commercialAreaCode,commercialAreaName,storeCount,latitude,longitude
EXCLUDE,도로·길 원본 구간명,,GGD-VWI76EP7SUPXMKCSCVO3XBRSCC,인계로_2,36,37.2633462,127.0460177
EXCLUDE,도로·길 원본 구간명,,GGD-PRRMX7V4G3SFHPYRVYO72Z2ZLI,매산로,35,37.2681348,127.0063220
EXCLUDE,도로·길 원본 구간명,,GGD-B7YISWS6ATZJEEHMD3DHZWWKDM,삼태기1길,35,37.3080639,126.8457360
EXCLUDE,도로·길 원본 구간명,,GGD-XFWYIATLM3QCUC2MJP4WIAOBSV,강남동로114번길,34,37.2732061,127.1373382
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-FUVWMNLTJNCGL6KW3EU2NX4G7H,부천춘의동우편취급국,34,37.5052071,126.7856546
EXCLUDE,도로·길 원본 구간명,,GGD-KQ2V5YXASD3KGJVDKUUSDR4F2C,장감로,34,37.1153554,127.6244595
EXCLUDE,도로·길 원본 구간명,,GGD-ZZURH2VJFFWWRVARIKLYKJ3ZYQ,태봉로166번길,34,37.8310638,127.1411869
EXCLUDE,도로·길 원본 구간명,,GGD-DAYKDCBGU7NSHK7FW5ZIGU2PGS,동수원로,33,37.2489078,127.0351095
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-7GWXMOY6D5GACWDEM234YVJMG3,일산서구청,33,37.6748960,126.7516392
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-MYI72MO62PH7P5GHGQKPASNOAS,파주연풍우체국,33,37.8293528,126.8367042
EXCLUDE,도로·길 원본 구간명,,GGD-TQQR662H2PBTDFYYMOKBS57M4Y,강남동로_2,32,37.2718009,127.1291593
EXCLUDE,도로·길 원본 구간명,,GGD-KOTDQB7F7ELDQLVNNK6KFCZ7FW,관곡로77번길,32,37.2819652,127.1147507
EXCLUDE,도로·길 원본 구간명,,GGD-VJTE5AWAPYPPP6IXWTWNNRFTI4,안양판교로,32,37.3956555,126.9856553
EXCLUDE,도로·길 원본 구간명,,GGD-HV55AT4BVYYA6DHQTHCGKWRTSC,이섭대천로_2,32,37.2900854,127.4552246
EXCLUDE,도로·길 원본 구간명,,GGD-6JBKNYDKTBSMX4LONCUWFELWFW,용구대로2790번길,31,37.3343089,127.1098668
EXCLUDE,기준점 성격의 공공·의료·행정 시설명,,GGD-X6QPJKTYAFNPD4XV5NQE3DHO3T,포천동주민센터,31,37.8990286,127.2011252
EXCLUDE,도로·길 원본 구간명,,GGD-XIR2373FNU75Z4B5M7ZQ2HNPD2,거북마루로_2,30,37.8965946,127.0471923
EXCLUDE,도로·길 원본 구간명,,GGD-BSLZF5SVLNLR7EWUNZWXLZIFSQ,심곡로,30,37.4788374,126.7754289
EXCLUDE,도로·길 원본 구간명,,GGD-MUPHQFQW5FXW2VPJF3LDSN2AER,양지편2길,30,37.3104069,126.8494625
EXCLUDE,도로·길 원본 구간명,,GGD-MAZ6AFST57XGHNZQHNBUFLBX22,엘에스로_2,30,37.3688141,126.9559021
EXCLUDE,도로·길 원본 구간명,,GGD-HEDB5NDGGJM4TV33MUTQ4UK6W2,오이도중앙로_2,30,37.3425502,126.6900114
EXCLUDE,도로·길 원본 구간명,,GGD-JRYEC2BM5HOQZW7HFVSGQEMFCI,내손순환로_1,29,37.3844526,126.9801628
EXCLUDE,도로·길 원본 구간명,,GGD-OGHXTOPUSMCN65WVX2XELOR5OS,부일로_2,29,37.4879974,126.7551051
EXCLUDE,도로·길 원본 구간명,,GGD-TQBLXHH3R6ADW2GZ5VRPCRNLTP,제일로,29,37.4414470,127.1309839
